従業員番号,苗字,名前,日付,勤怠区分,勤務パターン,開始時刻,終了時刻,休憩開始時刻1,休憩終了時刻1,休憩開始時刻2,休憩終了時刻2,休憩開始時刻3,休憩終了時刻3
17,小野寺,美桜子,2026/04/09,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/10,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/11,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/12,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/13,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/14,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/15,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/16,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/17,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/18,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/19,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/20,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/21,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/22,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/23,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/24,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/25,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/26,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/27,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/28,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/29,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/30,平日,,,,,,,,,
19,笠原,若葉,2026/04/01,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/02,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/03,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/04,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/05,平日,◯午前（掃除）,,,,,,,,
19,笠原,若葉,2026/04/06,平日,◯終日（掃除）,,,,,,,,
19,笠原,若葉,2026/04/07,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/08,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/09,平日,◯午前（掃除）,,,,,,,,
19,笠原,若葉,2026/04/10,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/11,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/12,平日,◯午前（掃除）,,,,,,,,
19,笠原,若葉,2026/04/13,平日,◯終日（掃除）,,,,,,,,
19,笠原,若葉,2026/04/14,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/15,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/16,所定休日,,,,,,,,,
